ALL VALUES ARE ARE LOG(2) [EXPRESSION RATIOS] 					Experimental treatment:	15 microg/ml Nor, 2 min	15 microg/ml Nor, 5 min	15 microg/ml Nor, 10 min	15microg/ml Nor, 20 min	15 microg/ml Nor, 30 min	50 microg/ml Nor, 2 min	50 microg/ml Nor, 5 min	50 microg/ml Nor, 10 min	50 microg/ml Nor, 20 min	50 microg/ml Nor, 30 min	42º C, 2 min	42º C, 5 min	42º C, 10 min	42º C, 20 min	42º C, 2 min	42º C, 5 min	42º C, 10 min	42º C, 20 min	15 microg/ml Nor, 2 min	15 microg/ml Nor, 3 min	15 microg/ml Nor, 4 min	15 microg/ml Nor, 5 min	15 microg/ml Nor, 7 min	15 microg/ml Nor, 10 min	15 microg/ml Nor, 15 min	15 microg/ml Nor, 20 min	15 microg/ml Nor, 30 min	50 microg/ml Nor, 2 min	50 microg/ml Nor, 5 min	50 microg/ml Nor, 10 min	50 microg/ml Nor, 20 min	50 microg/ml Nor, 30 min	20 microg/ml Novo, 5 min	50 microg/ml Novo, 5 min	200 microg/ml Novo, 5 min
nrfE 	b4074	formate-dependent_nitrite_reductase;_possible_assembly_function	0.4033945824	1	0	0.02857	-0.1681	0.08406	-0.2176	-0.5778	0.2016	-0.0145	0.5753	-0.1361	0.3561	-0.402125	-0.7612	-0.9434	1.367	0.3448	0.511454	-0.1361	-0.152	-0.1681	-0.2098	0.05658	0.07039	0.01895	-0.304	0.024115	0.1243	0.035195	0.4005	0.757	0.774	1.245	0.9782	0.6415	0.442837	0.7312
nrfF 	b4075	part_of_formate-dependent_nitrite_reductase_complex	0.3133142908	0.974625	-0.0370808655	-0.05889	-0.3219	0	0.189	0.111	-0.2176	-0.0145	-0.049962	-0.02915	0.1506	-0.4739	0.01436	-1.556	-0.8625	0.383076	0.4751	-0.152	-0.4344	0.4751	0.0753	-0.04394	0.275	0.12909	0.2265	-0.0169	0.2141	0.3254	0.5945	0.08406	0.2987	0.04264	-0.1361	3.043	0.6415	-0.2176
nrfG 	b4076	part_of_formate-dependent_nitrite_reductase_complex	-0.0518753321	1	0	0.1763	0.6781	0.3448	0.5753	0.4751	-0.1844	0.09761	0.1375	0.1635	0.1375	-1.286	-0.304	-0.1844	0.774	-0.5778	0.069529	1.091	0.6229	0.07039	-0.023315	-0.074	0.4542	0.10798	0.3103	-0.08325	0.4222	0.28765	-0.3771	0.2987	-0.3401	0.2987	-0.3959	0.4905	0.340919	-0.5353
gltP 	b4077	glutamate-aspartate_symport_protein	0.1001476944	1	0	0.251	0.2265	0.04264	0.7485	0.7398	-0.1681	0.01436	-0.0145	0.01436	0.2869	-0.08927	0.3219	0.5558	-0.1681	0.1375	0.3561	0.3103	-0.1361	-0.05889	0.198065	0.516	0.04264	0.38405	0.433	0.32175	0.263	0.035195	0.07039	0.5261	0.1506	0.3785	0.516	0.1506	0.111	0.1243
yjcO 	b4078	orf,_hypothetical_protein	-0.1850680817	1	0	0.546	0.2265	0.2265	0.4854	1.021	0.4005	0.3219	0.3103	0.8156	0.903	0.2987	0.84	0.5656	0.02857	0.3103	0.5261	0.4114	-0.0145	0.07039	0.40555	0.4647	0.05658	0.5756	0.4542	0.531	0.3219	0.42	0.1635	0.05658	0.1506	-0.1681	1.281	0.6041	0.4542	0.263
yjcP 	b4080	putative_enzyme	0.1260824271	1	0	-0.1047	-0.3585	0.1506	-0.2863	0.2016	-0.1361	-0.6439	-0.6897	0.5261	1.077	-0.5778	0.8718	1.275	0.2987	-1.599	0.285293	0.2987	0.08406	0.2265	0.00035	-0.1361	0.6871	-0.573945	0.2869	0.1506	0.1763	0.11325	-0.6897	1.263	0.585	1.17	1.82	-0.232485	-0.5564	-0.1681
yjcQ 	b4081	putative_enzyme	0.0486629303	1	0	0.3334	0.251	-0.074	0.1635	0.02857	0.07039	-0.04394	2.433	0.08406	0.2141	-0.3959	-0.1047	-0.6897	0.5059	0.669	0.15068	-1.12	-0.6215	0.07039	0.6826	0.6415	0.3785	0.6552	0.01436	0.7827	0.4114	-0.29975	-0.9714	-0.3401	0.7655	-1.358	-0.3959	2.138	1.757	0.9635
yjcR 	b4082	putative_membrane_protein	0.1382313228	1	0	-0.2176	-0.3401	-0.05889	-0.1361	-0.1047	0.04264	-1.089	-0.6897	-0.4941	-0.7612	1.118	1.373	0.4005	-0.3401	0.43417	0.431823	-0.3771	0.3896	0.2265	0.193	-0.0145	0.1506	0.47475	0.2265	0.63685	0.3561	0.2271	0.7908	0.4005	0.3448	1.541	0.9782	-0.547128	-0.5353	-2.837
yjcS 	b4083	orf,_hypothetical_protein	-0.0191910566	1	0	-0.4739	-0.2345	-0.1203	0.111	-0.04394	0.05658	0.09761	-0.1361	-0.1361	-0.1361	2.094	1.118	2.307	1.637	1.787	3.049252	5.304	2.067	-0.152	0.39955	0.09761	0.3674	0.2141	0.4436	0.49035	0.3896	-0.076	-0.2009	-0.2515	0.2141	0.3896	0.4114	0.419967	0.08406	0.111
yjcT 	b4084	putative_NAGC-like_transcriptional_regulator	0.0852494845	1	0	0.3103	0.1635	-0.2176	0.6229	-0.1047	-0.1681	-0.2176	-0.415	0.3219	-0.152	0.8797	1.373	-0.1844	-0.2009	2.669	1.111	1.189	0.9782	0.263	0.66785	0.08406	0.3674	0.82725	-0.2515	0.8593	0.01436	0.1255	0.02857	0.3896	0.275	1.077	-0.1361	-0.9714	-0.3585	-0.3959
yjcU 	b4085	putative_epimerase	-0.0039069033	1	0	0.3103	-0.2515	-0.3771	0.3448	-0.1844	0.2141	-0.0145	0.1635	0.3334	-0.2176	0.6323	1.401	0.275	0.4854	1.384	0.04264	1.401	1.007	0.275	0.63795	-0.074	-0.0145	0.263	0.2016	0.48025	0.5753	0.2271	-0.02915	-0.1361	0.6135	1.422	1.356	-4.322	-0.811	-0.3959
yjcV 	b4086	putative_transport_system_permease_protein	0.1339985405	1	0	0.4114	-0.304	-0.2863	0.4436	0.02857	-0.1844	-0.2345	-0.2515	0.4957	-0.3401	-0.2863	-0.6666	-0.6897	-0.152	0.8074	-0.08927	-0.6897	-0.5995	0.04264	0.3783	0.4957	0.09761	0.7237	0	0.63175	0.5261	0	0.1375	0.111	0	0.5059	0.2141	-1.474	-1.337558	-0.454
yjcW 	b4087	putative_ATP-binding_component_of_a_transport_system	0.5361379568	0.60525	-0.7243969207	0.09761	-0.7131	-0.2345	0.926	0.02857	-0.6215	-0.4941	-0.5995	0.84	-0.3585	0.251	0.8074	0.4647	-0.08927	0.1375	1.709	0.7398	0.5945	0.2016	0.5745	0.1243	0.3674	0.7127	0.4114	0.87895	1.233	0.31615	0.9411	0.4647	1.064	1.287	1.47	0.2265	0.04264	0.2987
yjcX 	b4088	putative_LACI-type_transcriptional_regulator	0.0707765565	1	0	0.4005	-0.1047	-0.2345	1.322	-0.415	-0.3401	-0.304	-0.5146	0.8319	-0.1681	-0.2009	0.3674	-0.304	0.02857	0.2869	1.233	0.3334	0.07039	0.09761	0.281	-0.0145	0.263	0.37235	-0.05889	0.44865	1	0.02829	-0.8365	-0.0145	-0.5778	-0.2176	0.2265	0.1375	0.07039	-0.2009
rpiB 	b4090	ribose_5-phosphate_isomerase_B	0.025774905	1	0	-0.5564	-0.7612	-0.5564	0.02857	-0.074	-0.5778	-0.3585	-0.5146	-0.2515	-0.4941	0.2141	0.6323	-0.074	0.4005	3.222	0.8639	0.4647	0.2141	0.1375	0.34175	0.07039	-0.0145	0.32435	0.1635	0.37285	-0.02915	0.0753	0.6508	0.251	-0.074	0.4436	-0.2009	-1.837	-1.69	-1.647208
phnQ 	b4091	orf,_hypothetical_protein	0.2100655945	1	0	-0.5353	-0.4941	-0.3585	0.263	-0.1844	-2.184	0.3219	0.1635	0.2987	0.3334	0.6041	-0.2345	0.02857	0.4854	0.9107	0.6135	0.1243	0.09761	0.4005	0.08347	0.275	0.6508	0.20502	1.245	0.16295	0.9184	0.5785	0.02857	0.433	1.438	2.163	1.098	-2.644	-1.515	-1.089
phnP 	b4092	phosphonate_metabolism	0.3952477444	0.960875	-0.0575793315	-0.5146	-0.3401	-0.3771	-0.1203	0.2265	-0.4344	-0.2176	-0.2176	-0.1844	-0.0145	-0.3401	-0.454	-0.889	-0.5146	-0.0145	-0.811	-0.454	-0.454	0.1763	0.339	0.111	0.6041	0.2774	0.2388	0.32435	0.251	0.1667	0.6135	0.7908	1.316	1.31	0.7398	-0.3959	-1.12	-1.152
phnO 	b4093	putative_regulator,_phn_operon	0.1507416163	1	0	-0.2009	-0.3771	-0.1844	0.2869	0.01436	-0.1361	-0.0145	0.09761	0	-0.1361	0.6508	0.3448	0.01436	-0.2863	1.269	0.585	0.8237	0.585	0.2265	-0.08372	-0.3219	0.7137	-0.2442	0.3103	0.030665	-0.04394	0.2271	0.01436	-0.454	-0.152	0.7485	-0.074	-0.304	-0.4941	0.9782
phnM 	b4095	phosphonate_metabolism	0.0547587361	1	0	-0.1047	0.02857	-0.2176	0.516	-0.02915	-0.02915	0.1506	-0.152	0.1763	-0.04394	0.4222	0.251	0.771769	-0.2009	1	4.066	0.3103	0.3896	0	-0.3219	0.038661	0.2016	-0.3219	-0.0145	-0.21915	-0.1681	-0.14315	-0.304	-0.811	-0.3959	-0.304	0.5261	0.594556	1.521	0.563559
phnL 	b4096	ATP-binding_component_of_phosphonate_transport	-0.1912586347	1	0	-0.2009	-1.152	0.09761	-0.08927	0.4647	0.1635	0.189	0.09761	0.1243	0.3674	-1.059	0.377688	0.926	1.275	1.816	0.381417	-0.4941	0.09761	0.1506	-1.184	-0.408497	-0.05889	-1.184	-0.3959	-1.184	-0.454	-0.037	-0.05889	0.2141	0.9855	0.4222	0.7398	-0.512167	-0.307031	-0.794142
phnK 	b4097	ATP-binding_component_of_phosphonate_transport	0.3382167949	0.79175	-0.3368831326	-0.08927	-0.415	-0.04394	-0.1047	0.2141	0.189	0.05658	0.1243	-0.02915	0.2265	-0.7859	-0.0145	0.1506	0.1763	1.609	3.536	0.7991	-0.1203	0.2388	0.089585	-0.2345	0.2869	0.08406	0.04264	0.269	0.3219	0.014285	0.8074	0.7312	0.5261	0.9635	1.124	0.4005	0.2016	0.5261
phnJ 	b4098	phosphonate_metabolism	0.6039131928	0.604875	-0.7252910608	-0.1681	-0.7612	-0.074	-0.7859	0.3561	-0.02915	0.4751	-0.1203	-0.02915	0.08406	-1	-0.127228	-1.059	1.195	-0.152	0.303709	-0.04394	0.05658	0.275	0.3927	0.3334	0.263	0.45935	0.1243	0.47475	0.04264	0.06215	1.526	0.4436	1.356	1.475	1.379	0.5361	0.8953	1.816
phnH 	b4100	phosphonate_metabolism	0.6232510826	0.049	-4.3510744405	-0.08927	-0.5995	0.1763	-0.387008	-0.7859	-0.3771	0	-0.1047	-0.04394	-1.889	-0.121322	0.006376	-1.286	-0.171907	-0.1361	0.316517	0.2987	-1	0.02857	0.3327	0.6041	0.1375	0.5655	0.7398	0.53185	0.84	0.4743	3.104	2.322	1.281	1.118	0.7485	1.491	0.638093	1.888
phnG 	b4101	phosphonate_metabolism	0.0998378473	1	0	0.05658	-0.5564	-0.1361	0.4957	0.3448	-0.304	-0.1361	0.000013	-0.2863	0.3103	-1.286	-0.078397	-1.089	-0.256097	0.091811	-0.207956	-0.5353	-0.052849	0.111	0.192335	0.4222	0.2987	-0.08765	-0.05889	-0.6792	0.2987	0.1724	0.6781	0.3785	0.4436	0.848	-0.5146	-0.448071	-0.885985	-1.179009
phnE 	b4104	membrane_channel_protein_component_of_Pn_transporter	0.0561119346	1	0	0.669	0.04264	-0.05889	0.263	0.07039	0.08406	0.2987	0.08406	-0.3219	-0.2688	-0.335206	-0.9434	-0.08927	0	0.1506	-2.059	0.4854	0.546	-0.7859	0.48025	0.09761	0.1506	0.81895	0.1375	0.583	0.2388	-0.08405	0.04264	-0.08927	-0.2176	-0.1361	0.3561	-0.429214	-0.1844	-0.788989
phnD 	b4105	periplasmic_binding_protein_component_of_Pn_transporter	0.6097549899	0.077	-3.698997744	-0.4344	-1	0.02857	0.05658	0.1635	-0.02915	-0.074	-0.04394	-0.2863	-0.2176	-0.2345	0.01436	-0.6897	-0.3219	0.01436	-0.5564	1.744	0.5558	0.6041	0.17388	0.6415	0.2869	0.4486	0.3674	0.7004	0.7398	0.6835	0.903	1.345	1.084	2.057	1.195	-0.372984	-0.2688	-0.381054
phnC 	b4106	ATP-binding_component_of_phosphonate_transport	0.5709192367	0.27025	-1.8876334769	-1	-0.6215	-0.1681	-0.3401	0.05658	0.4751	0.4005	-0.3585	-0.074	-0.0145	-0.4941	0.4005	-0.1203	-0.02915	1.043	0.696	1.744	0.4542	0.2987	-0.032855	-0.1681	0.263	0.28998	0.3896	0.33713	0.5361	0.5655	0.4222	0.7225	1.406	1.748	1.891	-0.434813	0.026904	-0.024204
phnB 	b4107	orf,_hypothetical_protein	0.5348869792	0.2055	-2.282789701	-0.454	-0.3771	-0.2176	-0.2345	0.251	-0.415	0.189	-0.02915	-0.074	-0.304	0.3785	1.07	-0.6897	-0.3959	1.642	2.233	0.3103	0.6415	0.189	0.23683	0.3674	0.189	0.38275	0.4005	0.3964	0.433	0.02829	0.4222	0.6508	0.2987	0.6508	0.263	1.74	2.381	2.655
phnA 	b4108	orf,_hypothetical_protein	0.2450110147	1	0	-0.152	0.5945	0.3219	-0.02915	-0.3959	0.926	1.227	1.214	0.4114	0.4436	1.098	0.433	0.07039	0.2141	1.124	0.9561	0.6135	0.5059	0.5261	-0.12802	-0.454	0.7137	0.2884	1.465	0.79845	0.6599	0.1724	0.4222	0.2869	0.9635	1.239	0.7398	0.8718	1.064	1.036
yjdA 	b4109	putative_vimentin	0.12320547	1	0	-0.454	0.3561	-0.304	0.1375	0.8156	0.09761	0.08406	-0.074	-0.02915	-0.04394	-0.0145	0.7824	-0.02915	-0.811	-0.2515	0.01436	-0.8625	-1.218	-0.1047	0.31015	0.275	0.2388	1.1595	0.6871	0.97085	1.029	0.26805	-0.05889	0.7225	1.599	1.151	1.692	-1.252	-1.943	-1.69
yjcZ 	b4110	orf,_hypothetical_protein	0.1086654955	1	0	-0.04394	-0.0145	-0.4941	0.275	0.8797	0.2265	-0.08927	-0.05889	-0.1047	-0.04394	-0.5778	-0.152	-0.152	-0.304	-0.4941	-0.152	-0.5995	-1.089	-0.304	-0.0578	0.2987	-0.7131	0.7321	-0.454	0.5531	-1.556	-1.126	-0.08927	1.257	2.094	1.111	0.7908	-0.5778	-0.02915	-0.2863
proP 	b4111	low-affinity_transport_system;_proline_permease_II	0.38813642	1	0	0.04264	0.84	-0.04394	-0.1361	1.753	-0.6439	-0.9159	-0.2345	-1.152	-0.5353	0.848	0.7485	0.7655	0	0.1506	0.9107	0.8156	-0.8365	-0.02915	0.06345	0.4542	0.5945	0.8448	1.642	0.58235	-1.152	-0.3685	0.1243	1.07	2.192	1.454	0.6599	1.766	2.331	2.26
basS 	b4112	sensor_protein_for_basR	0.3948300624	1	0	-0.08927	0.4114	0.1375	0.3785	1.449	-0.454	-0.4739	-0.1361	-0.2009	-0.2688	0.546	0.546	0.6599	-0.415	-0.2515	0.6508	0.6135	-0.9159	0.07039	-0.13305	-0.3771	0.5945	0.13765	1.683	0.12658	-0.5564	-0.00725	0.6415	0.8074	1.918	1.852	1.202	2.214	2.398	2.328
basR 	b4113	transcriptional_regulatory_protein,_member_of_2-component_regulatory_system,	-0.2692296151	1	0	0.07039	0.1243	-0.1047	0.4114	0.4114	0.5753	0.111	0.01436	0.4854	0.2265	-0.3585	0.1506	0.1635	-0.8625	0.1243	-1.434	-0.02915	-0.5353	0.2141	0.17745	0.669	-0.04394	0.6649	-0.02915	0.4276	-0.2688	-0.18855	-0.2688	-0.152	-0.2009	-0.1361	0.1375	-0.5564	-0.3219	-1.434
yjdB 	b4114	orf,_hypothetical_protein	0.1600931047	1	0	0.04264	-0.415	-0.04394	0.09761	-0.1047	-0.2176	-0.1203	-0.415	0	-0.3959	0.7312	0.5059	0.3674	0.5361	2.566	-0.3401	-0.6215	-0.1844	0.07039	-0.3041	0.01436	0.189	0.15282	0.01436	0.0745	-0.152	-0.14315	0.263	1.029	0.903	1.091	0.9928	-0.2688	-0.0145	-0.415
yjdE 	b4115	putative_amino_acid/amine_transport_protein,_cryptic	0.3481276025	0.996625	-0.0048773309	-0.3219	-0.3771	-0.2345	-0.3219	-0.0145	-0.454	-0.02915	-0.304	-0.3771	-0.304	0.4005	-0.05889	-0.3219	0.4751	1.014	0.09761	-0.5564	0.4436	0.1375	0.2388	0.04264	0.6508	-0.00725	0.4222	0.2928	0.5059	0.2271	0.926	0.9928	1.31	1.664	1.118	-1.058404	-0.930123	-1.322
adiY 	b4116	putative_ARAC-type_regulatory_protein	0.3344837105	0.997625	-0.003430476	-0.4344	-0.1361	-0.1361	-0.1203	0.1635	-0.3959	-0.2345	-0.2345	-0.4739	0.546	-0.3219	2.922	0.9782	0.3448	1.444	2.195	1.163	1.475	0.7824	0.75045	0.7485	1.485	0.7016	1.411	0.81045	1.546	0.6725	0.09761	0.08406	0.5945	0.8953	1.47	0.05658	-0.2863	-0.2863
adiA 	b4117	biodegradative_arginine_decarboxylase	0.1609852523	1	0	-0.4941	-1.556	-0.2176	-0.1361	-0.3959	-0.5353	-0.2688	-0.5353	-0.1681	-0.5778	-0.3959	1.214	0.546	0.4005	0.4957	0.5843	0.5656	0.5558	0.09761	0.263	0.02857	-0.3219	0.2564	-0.304	0.37165	1.104	0.14345	-0.1844	-0.0145	0.2869	0.6323	1.118	-3.644	-0.3959	-0.9159
melR 	b4118	regulator_of_melibiose_operon	-0.5633696192	0.11675	-3.098505545	-0.02915	-0.2176	-0.304	0.516	-0.3959	-0.02915	-0.152	0.1506	0.6135	0.111	-0.4941	-0.4739	-0.2345	0.189	-0.3771	-1.252	-0.9714	-0.3959	-0.5146	-0.45365	-0.5778	-0.9714	-0.362745	-1.12	-0.4247	0.1375	-0.1344	-0.5778	-0.6666	-0.8625	-0.3771	-0.08927	-1	-1.599	-2.12
melA 	b4119	alpha-galactosidase	-0.1614559449	1	0	0.4436	-0.5995	0.3334	1.05	0.903	0	0.251	0.111	0.7655	0.4957	-0.6666	1.561	-0.454	0.5753	0.433	0.021895	-0.3959	-0.6439	0.1635	0.275	-0.074	0.08406	0.4386	-0.3771	0.4523	-0.4739	0.02829	0.6135	0.4957	0.8639	0.8156	0.9336	0.3103	-0.4941	-0.4941
melB 	b4120	melibiose_permease_II	0.0223455039	1	0	0.2869	-0.3585	0.2388	0.5558	0.7137	-0.152	-0.3401	-0.3959	-0.0145	0.2016	-0.3585	0.05658	-0.7859	-0.2515	-1.029	-1.69	-1.322	-1.286	-0.2863	0.15043	0.05658	-0.02915	0.3332	0.02857	0.63225	-0.1203	-0.029445	1.438	1.501	1.646	1.651	1.727	-1.599	-1.837	-2.837
yjdF 	b4121	orf,_hypothetical_protein	-0.26410766	1	0	0.05658	-0.04394	-0.1203	-0.05889	0.05658	0.04264	-0.152	0.04264	0.02857	0.251	0.111	0.4647	-0.1203	-0.3219	1.628	0.111	0	-1.218	-0.2688	0.0292	0.1375	-0.08927	0.2375	-0.05889	0.18344	-0.04394	-0.00725	0.6323	-0.152	0.4436	-0.08927	-0.04394	-0.5353	-2.837	-1.644
fumB 	b4122	fumarase_B=_fumarate_hydratase_Class_I;_anaerobic_isozyme	-0.382733898	1	0	1.239	1.111	0.6781	2.506	1.444	0.9709	0.9855	1.07	2.362	2.31	-0.329439	-0.737	-0.7131	0.7908	0.251	-0.3219	0	0	0.6781	0.4798	0.5261	0.8156	0.11825	0.09761	-0.3495	2.278	1.064	1	0.8718	1.233	-0.0145	-0.0145	-0.6666	-1.322	-0.5353
dcuB 	b4123	anaerobic_dicarboxylate_transport	-0.3086390439	1	0	1.433	1.299	0.546	2.539	2.128	0.8639	1.014	0.794495	2.785	2.31	-0.4739	-0.304	-0.7612	-0.4941	-0.5146	-1.089	-0.7131	-0.5564	0.848	0.04961	0	0.7991	-0.15925	-0.02915	0.090695	2.585	1.3785	0.7049	0.6781	0.8639	0.3674	0.1375	-0.1681	-0.1203	0.02857
dcuR 	b4124	Cognate_response_regulator	0.2451837084	1	0	-0.02915	-0.152	-0.2515	-0.2009	-0.3771	-0.4739	-0.3401	-0.5564	-0.6215	-0.4344	-0.8625	0.5656	0.01436	0.2141	0.1635	0.3103	0.4751	0.189	-0.3585	0.23242	0.189	-0.2009	0.225385	-0.2515	0.29055	-0.5995	-0.24705	0.2141	0.08406	-0.2176	0.09761	-0.1203	-0.3219	-0.2345	-0.5146
dcuS 	b4125	Fumarate_sensor_protein	-0.0521957741	1	0	0.4222	0.3785	0.3785	0.1763	0.3674	-0.2009	-0.2515	-0.1844	-0.1844	-0.1047	-0.5778	-0.9159	-0.1047	-0.3771	0.9336	-0.3959	-0.1361	-0.1361	-0.3585	-0.66825	-0.5564	-0.152	-0.68985	0.263	-0.7859	-0.5353	-0.014575	0.05658	-0.5353	0.263	0.5558	0.696	-0.074	-0.2688	-0.4739
yjdI 	b4126	orf,_hypothetical_protein	-0.3342242843	1	0	0.263	0.07039	-0.0145	-0.2515	0.08406	0.01436	0.1763	-0.2688	-0.08927	0.3334	1.609	1.163	4.093	0.3674	-0.3401	-0.2176	0.1506	-0.5146	0.6041	-0.051415	-0.04394	0.09761	0.32435	-0.02915	0.195	0.02857	0.1724	-0.3401	-0.02915	-0.1681	-0.3771	-0.1844	0.263	0.263	0.251
yjdJ 	b4127	orf,_hypothetical_protein	-0.022267094	1	0	0.09761	-0.074	-0.0145	-0.7612	0.3448	-0.5353	-0.152	-0.5564	-0.3401	0.08406	-0.05889	0.8797	1.379	0.6135	-0.5995	-0.04394	0.7137	-0.4344	0.5656	0.4113	0.2388	-0.415	0.51515	-0.05889	0.6411	0.2987	-0.18855	-0.8365	-0.4344	-0.6666	-0.6666	-0.304	0.7824	0.9855	0.7312
yjdK 	b4128	orf,_hypothetical_protein	-0.1072210624	1	0	0.1243	0.263	0.05658	-0.3771	0.5558	-0.7612	-0.8625	-0.1047	-0.7612	-0.6666	3.032	2.173	1.356	1.59	1.922	2.984175	3.299	2.134	0	0.076435	0	0.04264	-0.28715	0.5558	0.2701	0.9635	0.2271	-1.599	-0.3401	-0.6439	-0.2863	0.04264	0.2141	0.9855	-1.322
lysU 	b4129	lysine_tRNA_synthetase,_inducible;_heat_shock_protein	-0.5448871224	0.8995	-0.1528048134	0.7485	0.9855	0.2869	0.774	0.5945	0.4005	0.3785	0.3219	0.4854	0.3896	0.4647	2.046	2.35	1.828	0.08406	1.599	2.087	2.101	0.4114	-0.76155	-0.3771	-0.3771	-0.8625	-0.7612	-1.4785	-0.889	-0.3806	0.07039	0	-0.415	-1.029	-1.286	0.7655	1.014	0.4542
yjdL 	b4130	putative_peptide_transporter	0.1476350468	1	0	0	-0.415	0.3334	0.07039	0.05658	-0.1681	-0.2176	-0.1844	-0.3959	-0.1203	0.3448	0.5945	0.7991	0.2265	0.6871	1.564917	-0.05889	0.05658	0.2265	0.20155	0.1506	0.2141	0.123345	0.4542	0.5007	-0.2009	0	-0.2863	0.6781	0.3219	-0.1361	0.3785	0	0.251	-0.2345
cadA 	b4131	lysine_decarboxylase_1	0.6960236517	0.13825	-2.8546486144	-0.2515	-0.08927	-0.3771	-0.415	-0.1681	-0.7612	-0.8625	-0.9159	-1.029	-0.7131	-0.1047	1.021	0.3561	-0.4941	-0.2176	-0.9159	0.6781	0.757	-0.1203	0.75615	0.4957	-0.05889	0.8078	-0.08927	1.0358	0.251	0.23235	0.08406	1.064	1.628	2.17	2.403	0.7398	1.064	0.585
cadB 	b4132	transport_of_lysine/cadaverine	-0.0358382959	1	0	-0.2688	0	-0.074	-0.3219	-0.2176	0.3334	0.3448	0.7824	0.2141	-0.889	0.9855	0.9107	0.4647	-0.7859	0.7312	0.275	0.9184	0.6781	0.1506	0.32615	0.1635	0.2987	0.95605	-0.889	1.66	0.4542	-0.0922	0.02857	-0.3401	-0.6666	-0.3585	-1.556	1.511	0.09761	-0.1047
cadC 	b4133	transcriptional_activator_of_cad_operon	0.5627817497	0.566	-0.8211260418	-0.5778	-0.5146	-0.08927	-1	0.1375	-1.252	-0.3959	-0.6897	-0.7612	-0.889	0.84	0.9336	0.5945	-0.1844	-0.05889	0.4647	0.5361	-0.2863	0.4114	-0.01516	0.08406	0.6415	0.3448	1.043	0.5593	0.8319	0.4515	0.6871	0.9928	2.011	2.154	2.198	-0.2515	-0.3585	-0.05889
yjdC 	b4135	orf,_hypothetical_protein	0.3612421787	0.999875	-0.0001803482	-0.4344	-0.3401	-0.1844	0.07039	0.111	-0.7612	-0.9714	-0.7131	-0.7612	-0.454	0.546	0.848	0.6041	0.585	0.189	0.6781	0.6229	0.4114	-0.2863	0.13025	0.2016	0.04264	0.32175	-0.0145	0.2383	-0.6666	-0.24705	0.01436	0.05658	0.4114	0.1375	-0.2009	1.787	2.007	1.744
dsbD 	b4136	thiol:disulfide_interchange_protein;_copper_tolerance	0.1897464435	1	0	-0.415	0.02857	-0.2863	0.275	0.5059	-0.5995	-0.6897	-0.415	-0.5995	0.08406	0.02857	-0.1361	-0.2688	-0.1844	0.01436	-0.04394	0.3103	0.3219	-0.3401	-1.218	-0.6897	0.189	-1.218	0.2141	-0.811	-2.12	-0.10045	0.546	0.9635	0.8319	0.4114	0.4005	0.9411	1.138	0.9561
cutA 	b4137	divalent_cation_tolerance_protein;_cytochrome_c_biogenesis	0.2700070733	1	0	-0.4739	-0.2009	-0.2176	0.2141	0.263	-1.396	-0.3219	-0.05889	0.01436	0.433	0.6135	0.6599	0.2016	0.5361	0.757	0.7655	0.6135	0.4751	0.04264	0.110495	-0.08927	0.3896	0.0098	0.275	0.27485	-0.3401	0	-0.3585	-0.2009	0.3674	0.251	0.4114	0.774	0.9107	0.8156
dcuA 	b4138	anaerobic_dicarboxylate_transport	0.045979032	1	0	0.09761	-0.3401	-1.089	-1.089	-0.889	0.111	-0.2515	-0.737	-0.9434	-0.9714	0.8639	0.9782	0.669	0.09761	0.8797	1.195	0.7312	0.111	0.275	0.242	0.1506	-0.3585	-0.16512	-1.152	-0.78675	-1.152	-0.3333	0.1763	-0.08927	0.251	0.07039	-0.7612	0.1506	0.1375	0.01436
aspA 	b4139	aspartate_ammonia-lyase_(aspartase)	-0.3707413856	1	0	0.5261	-0.4739	-0.8365	1.646	-1.152	0.6415	0.6781	-0.05889	2.729	1.287	0.4114	-0.4941	-0.074	0.9635	-0.1844	0.2869	0.2141	1.807	0.5059	0.20775	0.516	-0.1361	-0.1419	-1.644	-3.059	2.628	0.7805	0.04264	-0.415	-0.074	-2.059	-2.474	-0.7612	-1	-1.029
fxsA 	b4140	Suppressor_of_F_exclusion_of_bacteriophage_T7.	0.1155741976	1	0	0.189	-0.5146	0.1506	1.202	0.5558	-0.1681	-0.2515	0.01436	1.7	0.6781	1.05	1.138	0.6041	0.1243	2.211	2.087	0.9561	0.1243	0.6041	0.4616	0.4751	1.124	0.04645	0.3785	0.09662	0.5753	0.569	0.4957	0.189	0.2987	0.01436	-0.1361	1.989	2.032	1.949
yjeH 	b4141	putative_transport	0.349596207	0.991875	-0.0117697769	-0.2688	-0.2688	-0.02915	1.449	0.669	0.01436	-0.2345	-0.304	1.227	0.6135	1.678	1.7	0.6323	-0.3771	2.548	3.309	1.021	0.1243	0.3219	0.59795	0.8156	1.257	0.57865	0.4436	0.78045	0.84	0.6975	0.2141	1.131	1.511	1.465	0.757	2.131	1.911	1.918
